plate	well	gene_location	parental	pausecodon	pauselocation	replicate	strain_id	strain_label	comment
1	B3	plasmid	yfp0	NA	NA	1	ecMF82.1	plasmid_yfp0	
1	B4	plasmid	yfp0	CTA	4,5,6,7,8,9,10	1	ecMF112.1	plasmid_CTA4,5,6,7,8,9,10	
1	B5	plasmid	yfp0	CTA	6	1	ecMF66.1	plasmid_CTA6	
1	B6	plasmid	yfp0	CTA	10	1	ecMF68.1	plasmid_CTA10	
1	B7	plasmid	yfp0	CTA	14	1	ecMF72.1	plasmid_CTA14	
1	B8	plasmid	yfp0	CTA	6,10	1	ecMF92.1	plasmid_CTA6,10	
1	B9	plasmid	yfp0	CTA	6,14	1	ecMF85.1	plasmid_CTA6,14	
1	B10	plasmid	yfp0	CTA	10,14	1	ecMF87.1	plasmid_CTA10,14	
1	C3	plasmid	yfp0	NA	NA	2	ecMF82.2	plasmid_yfp0	
1	C4	plasmid	yfp0	CTA	4,5,6,7,8,9,10	2	ecMF112.2	plasmid_CTA4,5,6,7,8,9,10	
1	C5	plasmid	yfp0	CTA	6	2	ecMF66.2	plasmid_CTA6	
1	C6	plasmid	yfp0	CTA	10	2	ecMF68.2	plasmid_CTA10	
1	C7	plasmid	yfp0	CTA	14	2	ecMF72.2	plasmid_CTA14	
1	C8	plasmid	yfp0	CTA	6,10	2	ecMF92.2	plasmid_CTA6,10	
1	C9	plasmid	yfp0	CTA	6,14	2	ecMF85.2	plasmid_CTA6,14	
1	C10	plasmid	yfp0	CTA	10,14	2	ecMF87.2	plasmid_CTA10,14	
1	D3	plasmid	yfp0	NA	NA	3	ecMF82.3	plasmid_yfp0	
1	D4	plasmid	yfp0	CTA	4,5,6,7,8,9,10	3	ecMF112.3	plasmid_CTA4,5,6,7,8,9,10	
1	D5	plasmid	yfp0	CTA	6	3	ecMF66.3	plasmid_CTA6	
1	D6	plasmid	yfp0	CTA	10	3	ecMF68.3	plasmid_CTA10	
1	D7	plasmid	yfp0	CTA	14	3	ecMF72.3	plasmid_CTA14	
1	D8	plasmid	yfp0	CTA	6,10	3	ecMF92.3	plasmid_CTA6,10	
1	D9	plasmid	yfp0	CTA	6,14	3	ecMF85.3	plasmid_CTA6,14	
1	D10	plasmid	yfp0	CTA	10,14	3	ecMF87.3	plasmid_CTA10,14	
1	E3	chromosome	yfp0	NA	NA	1	ecMF395.1	chromosome_yfp0	
1	E4	chromosome	yfp0	CTA	4,5,6,7,8,9,10	1	ecMF396.1	chromosome_CTA4,5,6,7,8,9,10	
1	E5	chromosome	yfp0	CTA	6	1	ecMF397.1	chromosome_CTA6	
1	E6	chromosome	yfp0	CTA	10	1	ecMF398.1	chromosome_CTA10	
1	E7	chromosome	yfp0	CTA	14	1	ecMF399.1	chromosome_CTA14	
1	E8	chromosome	yfp0	CTA	6,10	1	ecMF400.1	chromosome_CTA6,10	
1	E9	chromosome	yfp0	CTA	6,14	1	ecMF401.1	chromosome_CTA6,14	
1	E10	chromosome	yfp0	CTA	10,14	1	ecMF402.1	chromosome_CTA10,14	
1	F3	chromosome	yfp0	NA	NA	2	ecMF395.2	chromosome_yfp0	
1	F4	chromosome	yfp0	CTA	4,5,6,7,8,9,10	2	ecMF396.2	chromosome_CTA4,5,6,7,8,9,10	
1	F5	chromosome	yfp0	CTA	6	2	ecMF397.2	chromosome_CTA6	
1	F6	chromosome	yfp0	CTA	10	2	ecMF398.2	chromosome_CTA10	
1	F7	chromosome	yfp0	CTA	14	2	ecMF399.2	chromosome_CTA14	
1	F8	chromosome	yfp0	CTA	6,10	2	ecMF400.2	chromosome_CTA6,10	
1	F9	chromosome	yfp0	CTA	6,14	2	ecMF401.2	chromosome_CTA6,14	
1	F10	chromosome	yfp0	CTA	10,14	2	ecMF402.2	chromosome_CTA10,14	
1	G3	chromosome	yfp0	NA	NA	3	ecMF395.3	chromosome_yfp0	
1	G4	chromosome	yfp0	CTA	4,5,6,7,8,9,10	3	ecMF396.3	chromosome_CTA4,5,6,7,8,9,10	
1	G5	chromosome	yfp0	CTA	6	3	ecMF397.3	chromosome_CTA6	
1	G6	chromosome	yfp0	CTA	10	3	ecMF398.3	chromosome_CTA10	
1	G7	chromosome	yfp0	CTA	14	3	ecMF399.3	chromosome_CTA14	
1	G8	chromosome	yfp0	CTA	6,10	3	ecMF400.3	chromosome_CTA6,10	
1	G9	chromosome	yfp0	CTA	6,14	3	ecMF401.3	chromosome_CTA6,14	
1	G10	chromosome	yfp0	CTA	10,14	3	ecMF402.3	chromosome_CTA10,14	
