plate	well	medium	parental	pausecodon	pauselocation	induction	replicate	strain_id	strain_label	comment
1	B4	rich	yfp0	CTA	4,5,6,7,8,9,10	+atc	1	ecMF112.1	rich_yfp0_CTA4,5,6,7,8,9,10_+atc	
1	B5	rich	yfp0	NA	NA	+atc	1	ecMF82.1	rich_yfp0_+atc	
1	B6	rich	yfp0	CTA	13	+atc	1	ecMF71.1	rich_yfp0_CTA13_+atc	
1	B7	rich	yfp0	CTA	14	+atc	1	ecMF72.1	rich_yfp0_CTA14_+atc	
1	B8	rich	yfp0	CTA	13,14	+atc	1	ecMF261.1	rich_yfp0_CTA13,14_+atc	
1	E4	starve	yfp0	CTA	4,5,6,7,8,9,10	+atc	1	ecMF112.1	starve_yfp0_CTA4,5,6,7,8,9,10_+atc	
1	E5	starve	yfp0	NA	NA	+atc	1	ecMF82.1	starve_yfp0_+atc	
1	E6	starve	yfp0	CTA	13	+atc	1	ecMF71.1	starve_yfp0_CTA13_+atc	
1	E7	starve	yfp0	CTA	14	+atc	1	ecMF72.1	starve_yfp0_CTA14_+atc	
1	E8	starve	yfp0	CTA	13,14	+atc	1	ecMF261.1	starve_yfp0_CTA13,14_+atc	
1	E9	starve	yfp0	NA	NA	-atc	1	ecMF82.1	starve_yfp0_-atc	
1	C4	rich	yfp0	CTA	4,5,6,7,8,9,10	+atc	2	ecMF112.2	rich_yfp0_CTA4,5,6,7,8,9,10_+atc	
1	C5	rich	yfp0	NA	NA	+atc	2	ecMF82.2	rich_yfp0_+atc	
1	C6	rich	yfp0	CTA	13	+atc	2	ecMF71.2	rich_yfp0_CTA13_+atc	
1	C7	rich	yfp0	CTA	14	+atc	2	ecMF72.2	rich_yfp0_CTA14_+atc	
1	C8	rich	yfp0	CTA	13,14	+atc	2	ecMF261.2	rich_yfp0_CTA13,14_+atc	
1	F4	starve	yfp0	CTA	4,5,6,7,8,9,10	+atc	2	ecMF112.2	starve_yfp0_CTA4,5,6,7,8,9,10_+atc	
1	F5	starve	yfp0	NA	NA	+atc	2	ecMF82.2	starve_yfp0_+atc	
1	F6	starve	yfp0	CTA	13	+atc	2	ecMF71.2	starve_yfp0_CTA13_+atc	
1	F7	starve	yfp0	CTA	14	+atc	2	ecMF72.2	starve_yfp0_CTA14_+atc	
1	F8	starve	yfp0	CTA	13,14	+atc	2	ecMF261.2	starve_yfp0_CTA13,14_+atc	
1	D4	rich	yfp0	CTA	4,5,6,7,8,9,10	+atc	3	ecMF112.3	rich_yfp0_CTA4,5,6,7,8,9,10_+atc	
1	D5	rich	yfp0	NA	NA	+atc	3	ecMF82.3	rich_yfp0_+atc	
1	D6	rich	yfp0	CTA	13	+atc	3	ecMF71.3	rich_yfp0_CTA13_+atc	
1	D7	rich	yfp0	CTA	14	+atc	3	ecMF72.3	rich_yfp0_CTA14_+atc	
1	D8	rich	yfp0	CTA	13,14	+atc	3	ecMF261.3	rich_yfp0_CTA13,14_+atc	
1	D9	rich	yfp0	NA	NA	-atc	1	ecMF82.1	rich_yfp0_-atc	
1	G4	starve	yfp0	CTA	4,5,6,7,8,9,10	+atc	3	ecMF112.3	starve_yfp0_CTA4,5,6,7,8,9,10_+atc	
1	G5	starve	yfp0	NA	NA	+atc	3	ecMF82.3	starve_yfp0_+atc	
1	G6	starve	yfp0	CTA	13	+atc	3	ecMF71.3	starve_yfp0_CTA13_+atc	
1	G7	starve	yfp0	CTA	14	+atc	3	ecMF72.3	starve_yfp0_CTA14_+atc	
1	G8	starve	yfp0	CTA	13,14	+atc	3	ecMF261.3	starve_yfp0_CTA13,14_+atc	
