samplename	well_position	ct
3xflagyfp0_rich_-RT_leu1214	B1	26.007
3xflagyfp0_rich_leu1214	B2	21.61
3xflagcta13_rich_leu1214	B3	22.27
3xflagcta14_rich_leu1214	B4	21.982
3xflagcta1314_rich_leu1214	B5	21.858
3xflagyfp0_rich_-atc_leu1214	B6	25.287
3xflagyfp0_starve_-RT_leu1214	B7	26.459
3xflagyfp0_starve_leu1214	B8	23.106
3xflagcta13_starve_leu1214	B9	24.77
3xflagcta14_starve_leu1214	B10	23.8
3xflagcta1314_starve_leu1214	B11	24.685
3xflagyfp0_starve_-atc_leu1214	B12	25.447
3xflagyfp0_rich_-RT_leu1214	C1	25.632
3xflagyfp0_rich_leu1214	C2	21.579
3xflagcta13_rich_leu1214	C3	22.279
3xflagcta14_rich_leu1214	C4	21.937
3xflagcta1314_rich_leu1214	C5	21.81
3xflagyfp0_rich_-atc_leu1214	C6	25.201
3xflagyfp0_starve_-RT_leu1214	C7	26.596
3xflagyfp0_starve_leu1214	C8	23.167
3xflagcta13_starve_leu1214	C9	24.849
3xflagcta14_starve_leu1214	C10	23.725
3xflagcta1314_starve_leu1214	C11	24.718
3xflagyfp0_starve_-atc_leu1214	C12	25.229
3xflagyfp0_rich_-RT_leu1214	D1	25.23
3xflagyfp0_rich_leu1214	D2	21.252
3xflagcta13_rich_leu1214	D3	22.052
3xflagcta14_rich_leu1214	D4	21.391
3xflagcta1314_rich_leu1214	D5	21.516
3xflagyfp0_rich_-atc_leu1214	D6	24.783
3xflagyfp0_starve_-RT_leu1214	D7	26.312
3xflagyfp0_starve_leu1214	D8	22.664
3xflagcta13_starve_leu1214	D9	24.381
3xflagcta14_starve_leu1214	D10	23.486
3xflagcta1314_starve_leu1214	D11	24.308
3xflagyfp0_starve_-atc_leu1214	D12	25.108
3xflagyfp0_rich_-RT_gapa	E1	Undetermined
3xflagyfp0_rich_gapa	E2	21.909
3xflagcta13_rich_gapa	E3	22.449
3xflagcta14_rich_gapa	E4	22.423
3xflagcta1314_rich_gapa	E5	21.88
3xflagyfp0_rich_-atc_gapa	E6	23.191
3xflagyfp0_starve_-RT_gapa	E7	34.466
3xflagyfp0_starve_gapa	E8	24.487
3xflagcta13_starve_gapa	E9	26.212
3xflagcta14_starve_gapa	E10	25.595
3xflagcta1314_starve_gapa	E11	25.296
3xflagyfp0_starve_-atc_gapa	E12	24.522
3xflagyfp0_rich_-RT_gapa	F1	35.436
3xflagyfp0_rich_gapa	F2	21.914
3xflagcta13_rich_gapa	F3	22.232
3xflagcta14_rich_gapa	F4	22.37
3xflagcta1314_rich_gapa	F5	21.899
3xflagyfp0_rich_-atc_gapa	F6	23.13
3xflagyfp0_starve_-RT_gapa	F7	34.811
3xflagyfp0_starve_gapa	F8	24.605
3xflagcta13_starve_gapa	F9	26.183
3xflagcta14_starve_gapa	F10	25.623
3xflagcta1314_starve_gapa	F11	25.374
3xflagyfp0_starve_-atc_gapa	F12	24.549
3xflagyfp0_rich_-RT_gapa	G1	35.556
3xflagyfp0_rich_gapa	G2	21.865
3xflagcta13_rich_gapa	G3	22.177
3xflagcta14_rich_gapa	G4	22.289
3xflagcta1314_rich_gapa	G5	21.763
3xflagyfp0_rich_-atc_gapa	G6	23.122
3xflagyfp0_starve_-RT_gapa	G7	Undetermined
3xflagyfp0_starve_gapa	G8	24.547
3xflagcta13_starve_gapa	G9	26.316
3xflagcta14_starve_gapa	G10	25.591
3xflagcta1314_starve_gapa	G11	25.265
3xflagyfp0_starve_-atc_gapa	G12	24.621
